"","latitude","longitude","elevation","aspect","slope","meso_rel","class","browsing_index","bio1","bio10","bio11","bio12","bio13","bio14","bio15","bio16","bio17","bio18","bio19","bio2","bio3","bio4","bio5","bio6","bio7","bio8","bio9","elevation_aws_wgs84","slope_aws_wgs84","northness_aws_wgs84","eastness_aws_wgs84","tri_aws_wgs84","hli_aws_wgs84","twi_aws_wgs84","tpimeso_aws_wgs84","treeheight","elevation_srtm_wgs84","slope_srtm_wgs84","northness_srtm_wgs84","eastness_srtm_wgs84","tri_srtm_wgs84","hli_srtm_wgs84","tpi_srtm_wgs84","class_code"
"T1S1N0500",-41.623433,-71.793067,522,20,19,NA,"Wet forest","moderate",9.30751037597656,14.6611776351929,4.06995391845703,1852.65771484375,300.009368896484,61.9941825866699,50.8931579589844,786.387268066406,230.964721679688,230.964721679688,771.041259765625,11.3431262969971,50.2606506347656,428.23486328125,22.2137489318848,-0.354805767536163,22.5685558319092,4.7562198638916,14.6611776351929,549.698974609375,8.84965419769287,0.923036932945251,-0.221682146191597,5.37807035446167,0.78589278459549,4.57942295074463,-2.31678986549377,12.4483184814453,539.095092773438,9.88417339324951,0.755477011203766,-0.494561165571213,403.489562988281,0.643525421619415,-85.6682586669922,5
"T1S1N0600",-41.625554,-71.79414,602,320,12,NA,"Wet forest","low",9.233229637146,14.5789947509766,3.99861288070679,1837.58581542969,298.523345947266,61.2486190795898,50.9095268249512,779.477722167969,229.102844238281,229.102844238281,765.413696289062,11.3312540054321,50.2633361816406,427.745056152344,22.103343963623,-0.440394550561905,22.543737411499,4.6825270652771,14.5789947509766,612.318298339844,18.717155456543,0.824571669101715,-0.558517456054688,11.6805543899536,0.872863352298737,5.21716928482056,-7.00527000427246,10.1577882766724,553.620483398438,8.77633094787598,0.823191165924072,-0.431982576847076,388.891784667969,0.630853593349457,-75.8143539428711,5
"T1S1N0700",-41.630117,-71.787583,701,260,23,NA,"Wet forest","low",8.52012538909912,13.8630628585815,3.28546595573425,1691.98571777344,282.1630859375,54.3568801879883,50.9026298522949,711.885375976562,207.850799560547,207.850799560547,711.815612792969,11.2233667373657,49.9564666748047,427.686492919922,21.2906856536865,-1.17556250095367,22.4662475585938,3.29070520401001,13.8630628585815,703.976501464844,24.2904644012451,0.55231636762619,-0.811545670032501,15.8537330627441,0.906388223171234,4.2455883026123,-4.37979221343994,16,699.553649902344,21.7029266357422,0.335216134786606,-0.941378951072693,776.993041992188,0.777397930622101,-102.370491027832,5
"T1S1N0800",-41.63185,-71.78562,819,305,30,NA,"Wet forest","low",7.91073608398438,13.2310676574707,2.69559955596924,1590.16430664062,269.062561035156,49.9355049133301,51.2627868652344,673.581115722656,193.320205688477,193.320205688477,673.581115722656,11.1047077178955,49.8544387817383,426.244598388672,20.5438899993896,-1.72947728633881,22.2733669281006,2.69559955596924,13.2310676574707,825.244079589844,31.4261264801025,0.484677076339722,-0.821556150913239,21.1998062133789,0.935189306735992,3.97013831138611,-7.68272256851196,14.399169921875,824.579528808594,23.8435840606689,0.286622494459152,-0.955326914787292,806.9267578125,0.797314703464508,-65.8420486450195,5
"T1S1N0900",-41.6325,-71.78381,906,290,32,"convex","Wet forest","low",7.42252588272095,12.7237682342529,2.2229163646698,1513.36608886719,258.721282958984,46.5304756164551,51.5837554931641,644.835754394531,182.18440246582,182.18440246582,644.835754394531,11.0119934082031,49.7576026916504,425.060150146484,19.9552898406982,-2.17466902732849,22.1299591064453,2.2229163646698,12.7237682342529,908.26953125,34.3526458740234,0.670690476894379,-0.740895330905914,24.1387538909912,0.914912343025208,5.83184909820557,-11.389479637146,15.2817077636719,923.982482910156,25.5788173675537,0.255091905593872,-0.963723957538605,845.490112304688,0.813293218612671,-36.8615913391113,5
"T1S1N1000",-41.63347,-71.78235,1011,335,35,"convex","Wet forest","no_use",6.98132514953613,12.2650413513184,1.79545331001282,1446.4384765625,249.503723144531,43.5486602783203,51.8617858886719,619.630554199219,172.455108642578,172.455108642578,619.630554199219,10.9283275604248,49.658863067627,423.957366943359,19.4269580841064,-2.57844662666321,22.0054035186768,1.79545331001282,12.2650413513184,1012.67950439453,32.3900375366211,0.559021532535553,-0.818907856941223,22.1651954650879,0.938806474208832,5.25042486190796,-7.33341312408447,19.5963821411133,1013.94946289062,26.8357639312744,0.22447581589222,-0.971370160579681,871.955139160156,0.82435405254364,-6.73952484130859,5
"T1S1N1100",-41.6349,-71.78134,1103,80,26,"flatcx","Wet forest","no_use",6.58100366592407,11.8484878540039,1.40712893009186,1389.14453125,241.333953857422,40.9840850830078,52.0880889892578,597.762512207031,164.116348266602,164.116348266602,597.762512207031,10.8521909713745,49.552848815918,422.904541015625,18.9519596099854,-2.94701218605042,21.8989715576172,1.40712893009186,11.8484878540039,1108.51147460938,31.5721473693848,0.298558235168457,-0.950735807418823,19.7044582366943,0.977291464805603,3.79655480384827,-4.77064943313599,12.4305019378662,1095.69091796875,27.4323921203613,0.191826432943344,-0.978872954845428,878.872253417969,0.828526794910431,27.3369789123535,5
"T1S1N1200",-41.63547,-71.7797,1211,310,41,"convex","Shrubland","no_use",6.1395959854126,11.3888502120972,0.979194343090057,1326.517578125,232.267990112305,38.1312599182129,52.3837432861328,574.18408203125,154.860717773438,154.860717773438,574.18408203125,10.7703161239624,49.4379920959473,421.775299072266,18.4321327209473,-3.35275793075562,21.78489112854,0.979194343090057,11.3888502120972,1199.68115234375,37.6710891723633,0.428406208753586,-0.880960285663605,25.7493782043457,0.968359231948853,6.28676271438599,-7.59786415100098,4.76602697372437,1186.26013183594,28.6124286651611,0.165497824549675,-0.984608232975006,913.409118652344,0.838576436042786,58.978099822998,3
"T1S1N1300",-41.63631,-71.77837,1312,280,35,"concave","Subalpine forest","no_use",5.76110029220581,10.9972457885742,0.611036479473114,1282.87170410156,225.450561523438,36.1950798034668,52.6032409667969,557.515869140625,148.431686401367,148.431686401367,557.515869140625,10.7067747116089,49.3412208557129,420.877227783203,17.9884471893311,-3.71069049835205,21.6991386413574,0.611036479473114,10.9972457885742,1310.65783691406,38.7770309448242,0.494022786617279,-0.868340313434601,27.2893085479736,0.970588982105255,4.0282883644104,-10.3403759002686,10.2160615921021,1264.85571289062,26.7940559387207,0.162480369210243,-0.985093474388123,873.785827636719,0.818851411342621,92.2826309204102,9
"T1S1N1400",-41.63722,-71.77699,1415,312,36,"concave","Subalpine forest","no_use",5.42434930801392,10.6513156890869,0.283143222332001,1251.27905273438,220.106872558594,34.849536895752,52.7705688476562,545.353515625,143.801452636719,143.801452636719,545.353515625,10.6559371948242,49.266788482666,420.140930175781,17.5939254760742,-4.03482913970947,21.6287536621094,0.283143222332001,10.6513156890869,1409.02294921875,36.0867042541504,0.430738925933838,-0.88105309009552,23.9650955200195,0.967575073242188,6.69145154953003,-7.11452198028564,6.5515718460083,1337.57678222656,23.7002639770508,0.172597348690033,-0.982890248298645,803.902709960938,0.786531090736389,123.0068359375,9
